SMILES,MF
CC1=NN(C(=O)C1)c2cccc(c2)[S](O)(=O)=O,C10H10N2O4S
CC1=NN(C(=O)C1)c2ccc(cc2)[S](O)(=O)=O,C10H10N2O4S
CC(C(=O)O)NC(=O)C1=CC(=CC=C1)[N+](=O)[O-],C10H10N2O5
CCOC1=NO[N+](=C1S(=O)(=O)C2=CC=CC=C2)[O-],C10H10N2O5S
CC1=NN=C(c2ccccc2)C(=O)N1N,C10H10N4O
c1cc(N)ccc1S(=O)(=O)Nc2cnccn2,C10H10N4O2S
NC1=CC=C(S(=O)(=O)NC2=NC=CC=N2)C=C1,C10H10N4O2S
NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC(=O)NC=C2,C10H10N4O3S
CNC(=O)C1=CC(=C(C=C1[N+]([O-])=O)[N+]([O-])=O)N2CC2,C10H10N4O5
CN1N=C(SC1=N[S](=O)(=O)C2=C(C=CC=C2)C(O)=O)[S](N)(=O)=O,C10H10N4O6S3
Oc1ccc(C=C)cc1C=C,C10H10O
CC(=O)\C=C\c1ccccc1,C10H10O
C/C(C=O)=C/c1ccccc1,C10H10O
CC1(C)OC(=O)c2ccccc12,C10H10O2
CC(=O)CC(=O)c1ccccc1,C10H10O2
CC(=C)C(=O)Oc1ccccc1,C10H10O2
COC(=O)\C=C\c1ccccc1,C10H10O2
CCC1OC(=O)c2ccccc12,C10H10O2
CC(=O)OC(=C)c1ccccc1,C10H10O2
CC(=O)OC1=CC=C(C=C1)C(C)=O,C10H10O3
COc1ccc(\C=C\C(O)=O)cc1,C10H10O3
Cc1ccc2OCC(=O)COc2c1,C10H10O3
O=C(O)CSC(=S)OCC1=CC=CC=C1,C10H10O3S2
COC1=C(O)C=CC(=C1)\C=C\C(O)=O,C10H10O4
COC(=O)c1cccc(c1)C(=O)OC,C10H10O4
COC(=O)c1ccccc1C(=O)OC,C10H10O4
CC(=O)O[C@@H](C(O)=O)c1ccccc1,C10H10O4
COc1ccc2COC(=O)c2c1OC,C10H10O4
COC(=O)c1ccc(cc1)C(=O)OC,C10H10O4
CC(=O)OC(C(O)=O)C1=CC=CC=C1,C10H10O4
COC(=O)C1=CC=CC=C1OC(C)=O,C10H10O4
COC(=O)C1=CC=C(OC(C)=O)C=C1,C10H10O4
O=C(O)CSC(C(=O)O)C1=CC=CC=C1,C10H10O4S
COc1ccc(C=O)c(C(O)=O)c1OC,C10H10O5
OCCOC(=O)c1ccccc1C(O)=O,C10H10O5
Cc1cc(C)c(OCC(O)=O)c(Br)c1,C10H11BrO3
CCCOC(=O)C1=CC(Br)=C(O)C=C1,C10H11BrO3
CC(O)COCc1c(Cl)ccc(Cl)c1Cl,C10H11Cl3O2
ClCCCN1C(=O)Nc2ccccc12,C10H11ClN2O
CN(Cc1ccc(Cl)nc1)C(C)=NC#N,C10H11ClN4
OC(=O)CCCOC1=CC=C(Cl)C=C1,C10H11ClO3
CCOC(=O)COc1ccc(Cl)cc1,C10H11ClO3
C[C@@H](Oc1ccc(Cl)cc1C)C(O)=O,C10H11ClO3
CC(Oc1ccc(Cl)cc1C)C(O)=O,C10H11ClO3
CCCOC(=O)C1=CC(Cl)=C(O)C=C1,C10H11ClO3
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,C10H11F3N2O
OCC1OC(CC1O)N2C=C(C(=O)NC2=O)C(F)(F)F,C10H11F3N2O5
CC(=O)OCN1C=C(F)C(=O)N(COC(C)=O)C1=O,C10H11FN2O6
CCCOC(=O)CN1C=C(I)C(=O)C(=C1)I,C10H11I2NO3
CCCOC(=O)c1ccc(O)c(I)c1,C10H11IO3
CC(C)c1ccc(cc1)C#N,C10H11N
NC(=O)N[C@@H](Cc1ccccc1)C([O-])=O,C10H11N2O3-
Cc1cc(N)n(n1)c2ccccc2,C10H11N3
CC1=CC(OC2=CC=CC=N2)=NN1C,C10H11N3O
NC(Cc1[nH]nc2ccccc12)C(O)=O,C10H11N3O2
COc1cc2nccnc2c(N)c1OC,C10H11N3O2
NC1=CC=C(S(=O)(=O)N=C2CC=CN2)C=C1,C10H11N3O2S
Cc1cc(N[S](=O)(=O)c2ccc(N)cc2)sn1,C10H11N3O2S2
CC1=CSC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,C10H11N3O2S2
CC(=O)OC1=CC=C(C=C1)\C=N\NC(N)=O,C10H11N3O3
Cc1onc(N[S](=O)(=O)c2ccc(N)cc2)c1,C10H11N3O3S
CC1=NN(C(=N)C1)c2cccc(c2)[S](O)(=O)=O,C10H11N3O3S
C1=CC(=CC=C1NC(=O)NCCC(=O)O)[N+](=O)[O-],C10H11N3O5
CNC(=O)N(C)c1sc2ccccc2n1,C10H11N3OS
CC1=NNC(=O)N(C1)\N=C\c2cccnc2,C10H11N5O
CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NN=C(S2)[S](N)(=O)=O,C10H11N5O5S3
CC(=O)CC(=O)Nc1ccccc1,C10H11NO2
NC(=O)c1ccccc1OCC=C,C10H11NO2
CC=CC(=O)Nc1ccc(O)cc1,C10H11NO2
CNC(=O)COC(=O)c1ccccc1,C10H11NO3
COC(=O)C1=CC=C(NC(C)=O)C=C1,C10H11NO3
CC(=O)Nc1ccc(OC(C)=O)cc1,C10H11NO3
CC(NC(=O)c1ccccc1)C(O)=O,C10H11NO3
COC(=O)CNC(=O)c1ccccc1,C10H11NO3
CC1(C)Cc2cccc(c2O1)[N+]([O-])=O,C10H11NO3
CC(C)C(=O)Oc1ccc(cc1)[N+]([O-])=O,C10H11NO4
CCOC(=O)C(NC=O)=Cc1cocc1,C10H11NO4
COC(=O)c1ccc(c(N)c1)C(=O)OC,C10H11NO4
CN(C)C1=C(C(=O)O)C=C(C(=O)O)C=C1,C10H11NO4
COC(=O)OC1=CC=C(NC(C)=O)C=C1,C10H11NO4
CCCC(=O)Oc1ccc(cc1)[N+]([O-])=O,C10H11NO4
O=C(NC(CO)C(=O)O)C1=CC=CC=C1,C10H11NO4
COC1=C(OC)C2=C(COC2=O)C(N)=C1,C10H11NO4
C1CCc2ccccc2C1,C10H12
C1C=CC2C3CC(C=C3)C12,C10H12
CCO[P](=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,C10H12BrCl2O3PS
CCO[P](=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,C10H12Cl3O2PS
CNC(=O)O\N=C1/[C@@H](Cl)C2C[C@H](C#N)C1C2,C10H12ClN3O2
CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,C10H12ClN3O2
CCC1NC(=O)c2cc(c(Cl)cc2N1)[S](N)(=O)=O,C10H12ClN3O3S
ClCCC(=O)NCc1ccccc1,C10H12ClNO
CC(C)OC(=O)Nc1cccc(Cl)c1,C10H12ClNO2
NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2
O[Cr](=O)(=O)O[Cr](O)(=O)=O.c1ccncc1.c2ccncc2,C10H12Cr2N2O7
[Cu++].[O-]C(=O)C1CCC(=O)N1.[O-]C(=O)C2CCC(=O)N2,C10H12CuN2O6
[K+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,C10H12FeKN2O8
[Na+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,C10H12FeN2NaO8
[K+].[K+].[Zn++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,C10H12K2N2O8Zn
[Na+].[Na+].[Mn++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,C10H12MnN2Na2O8
C1N[C@@H](CC=C1)c2cccnc2,C10H12N2
NCCC1=C[NH]C2=C1C=CC=C2,C10H12N2
[Na+].[Na+].[Na+].[Na+].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,C10H12N2Na4O8
NCCc1c[nH]c2ccc(O)cc12,C10H12N2O
COC1=NC=C(NC(=O)C2CC2)C=C1,C10H12N2O2
CC(=O)NCC(=O)Nc1ccccc1,C10H12N2O2
NC(C(=O)NCC(=O)O)C1=CC=CC=C1,C10H12N2O3
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,C10H12N2O3
NC(=O)CNC(=O)OCC1=CC=CC=C1,C10H12N2O3
CC(C)N1C(=O)c2ccccc2N[S]1(=O)=O,C10H12N2O3S
CC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC(C)=O,C10H12N2O4S
CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,C10H12N2O5
CC1=C(C(N)=O)C(=O)N(CCC(O)=O)C(=C1)O,C10H12N2O5
CC(C)(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,C10H12N2O5
NS(=O)(=O)C1=CC=C(NC(=O)CCC(=O)O)C=C1,C10H12N2O5S
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O,C10H12N2O5S
[Zn++].[O-]C(=O)C1CCC(=O)N1.[O-]C(=O)C2CCC(=O)N2,C10H12N2O6Zn
[Na+].CCCCc1ccc2[n-]nnc2c1,C10H12N3Na
CO[P](=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,C10H12N3O3PS2
CCC1=NC2=C(N=CN=C2)N=C1CC,C10H12N4
CCc1nc2cnc(O)nc2nc1CC,C10H12N4O
CCc1nc2ncnc(O)c2nc1CC,C10H12N4O
CN1C(=O)N(C)c2nc(C)c(C)nc2C1=O,C10H12N4O2
CCC1=NC2=C(N=C1CC)C(=O)NC(=O)N2,C10H12N4O2
CCCC(=O)OCSC1=NC=NC2=C1N=C[NH]2,C10H12N4O2S
CCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,C10H12N4O2S2
CC(C)=NNC(=O)Nc1ccc(cc1)[N+]([O-])=O,C10H12N4O3
CCCC(=O)OC[N]1C=C2C(=O)NC=NC2=N1,C10H12N4O3
CCCC(=O)OC[N]1N=CC2=C1N=CNC2=O,C10H12N4O3
CN1CC(O)C2=CC(=NNC(N)=O)C(=O)C=C21,C10H12N4O3
OCC1CCC(O1)[N]2C=NC3=C2N=CNC3=O,C10H12N4O3
CCC(=O)[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,C10H12N4O3
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,C10H12N4O4
CN1C(=O)N(C)C2=C([N](COC(C)=O)C=N2)C1=O,C10H12N4O4
CCOC(=O)[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,C10H12N4O4
CN1N=C(SC1=N[S](=O)(=O)CC2=CC=CC=C2)[S](N)(=O)=O,C10H12N4O4S3
CN1N=C(SC1=N[S](=O)(=O)C2=CC=C(C)C=C2)[S](N)(=O)=O,C10H12N4O4S3
OCC1OC(C(O)C1O)n2cnc3C(=O)N=CNc23,C10H12N4O5
C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)[S]1(=O)=O)C(O)=O,C10H12N4O5S
COC1=CC=C(C=C1)[S](=O)(=O)N=C2SC(=NN2C)[S](N)(=O)=O,C10H12N4O5S3
CC(=O)Nc1ccc(cc1)/C=N/NC(N)=S,C10H12N4OS
N#CCN(CCN(CC#N)CC#N)CC#N,C10H12N6
NCC(=O)NC1=CC=C(C=C1)[S](=O)(=O)NC2=NN=C(S2)[S](N)(=O)=O,C10H12N6O5S3
[Na+].Cc1ccc(OCCC[S]([O-])(=O)=O)c(c1)[N+]([O-])=O,C10H12NNaO6S
COc1ccc(CC=C)cc1,C10H12O
CC(=O)CCc1ccccc1,C10H12O
CC(C)c1ccc(C=O)cc1,C10H12O
O(c(ccc(c1)C=CC)c1)C,C10H12O
COc1ccc(\C=C\C)cc1,C10H12O
CC(CC=O)c1ccccc1,C10H12O
CC(C)C(=O)c1ccccc1,C10H12O
Oc1ccc2CCCCc2c1,C10H12O
CC(=O)OCCc1ccccc1,C10H12O2
CCOC(=O)Cc1ccccc1,C10H12O2
CC(C)c1ccc(cc1)C(O)=O,C10H12O2
OC(=O)CCCC1=CC=CC=C1,C10H12O2
CCCOC(=O)c1ccccc1,C10H12O2
CC1OCC(O1)c2ccccc2,C10H12O2
CC(C)(O)C(=O)c1ccccc1,C10H12O2
Cc1ccccc1OCC2CO2,C10H12O2
CC(=O)CCc1ccc(O)cc1,C10H12O2
Cc1cc(C)c(c(C)c1)C(O)=O,C10H12O2
COc1cc(CC=C)ccc1O,C10H12O2
CCC(=O)OCc1ccccc1,C10H12O2
COc1cc(\C=C\C)ccc1O,C10H12O2
CCSC(C(O)=O)c1ccccc1,C10H12O2S
CCOc1ccc(C=O)cc1OC,C10H12O3
COC(CC(O)=O)c1ccccc1,C10H12O3
CCCOC(=O)C1=CC=C(O)C=C1,C10H12O3
Cc1cc(C)cc(OCC(O)=O)c1,C10H12O3
COc1ccc(COC(C)=O)cc1,C10H12O3
CCOC(=O)C(O)C1=CC=CC=C1,C10H12O3
COc1ccc(CCC(O)=O)cc1,C10H12O3
OCCCOC(=O)c1ccccc1,C10H12O3
Cc1cccc(C)c1OCC(O)=O,C10H12O3
COc1cc(C=O)cc(OC)c1OC,C10H12O4
c1c(OC)c(OC)C2C(=O)OCC2c1,C10H12O4
C[C@@]12[C@H]3CC[C@H](O3)[C@]1(C)C(=O)OC2=O,C10H12O4
COC(=O)c1c(C)cc(O)c(C)c1O,C10H12O4
CCOC(=O)C1=CC(=C(O)C=C1)OC,C10H12O4
CC12C3CCC(O3)C1(C)C(=O)OC2=O,C10H12O4
CCCOC(=O)c1cc(O)c(O)c(O)c1,C10H12O5
COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,C10H12O6
CN(C)[S](=O)(=O)N(SC(F)(Cl)Cl)c1ccc(C)cc1,C10H13Cl2FN2O2S2
NCC(=O)NCC(=O)NC1=C(Cl)C(=C(C=C1[S](N)(=O)=O)[S](N)(=O)=O)Cl,C10H13Cl2N5O6S2
CNC.OC(=O)COc1ccc(Cl)cc1Cl,C10H13Cl2NO3
CCO[P](=S)(OCC)Oc1ccc(Cl)cc1Cl,C10H13Cl2O3PS
CN(C)C=NC1=C(C)C=C(Cl)C=C1,C10H13ClN2
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,C10H13ClN2O
COc1ccc(NC(=O)N(C)C)cc1Cl,C10H13ClN2O2
Clc1ccc(S(=O)(NC(=O)NCCC)=O)cc1,C10H13ClN2O3S
CNC(=S)N(C)C1=C(C)C=C(Cl)C=C1,C10H13ClN2S
CN(C)C(=S)Nc1ccc(Cl)cc1C,C10H13ClN2S
CC(C)c1cc(Cl)c(C)cc1O,C10H13ClO
Oc1ccccc1.ClCC2CO2.C=O,C10H13ClO3
CC(C)(C)C(=O)OCN1C=C(F)C(=O)NC1=O,C10H13FN2O4
CCCCC(=O)OCN1C(=O)NC=C(F)C1=O,C10H13FN2O4
CCN(C)N=NC1=CC=C(C(=O)O)C=C1,C10H13N3O2
CCCC(=O)NNC(=O)C1=CC=NC=C1,C10H13N3O2
OC(=O)CC(N(CCC#N)CCC#N)C(O)=O,C10H13N3O4
CCC1=NC2=C(N=C1CC)C(=NC=N2)N,C10H13N5
CCC1=NC2=C(N=C(N)N=C2)N=C1CC,C10H13N5
CCC1=NC2=C(N=C1CC)C(=O)NC(=N2)N,C10H13N5O
CCC1=NC2=C(N=C1CC)C(=NC(=O)N2)N,C10H13N5O
CC(=O)NC1=NC2=C(C=N1)N=C[N]2COCCO,C10H13N5O3
CC(=O)OCCOC[N]1C=NC2=C1N=C(N)N=C2,C10H13N5O3
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,C10H13N5O4
NC1=NC=NC2=C1N=C[N]2C3OC(CO)C(O)C3O,C10H13N5O4
CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,C10H13N5O4
CC(=O)NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,C10H13N5O4
CC(=O)OCCOC[N]1C=NC2=C1N=C(N)NC2=O,C10H13N5O4
NC1=NC2=C(N=C[N]2C3OC(CO)C(O)C3O)C(=O)N1,C10H13N5O5
CCc1ccc(NC(C)=O)cc1,C10H13NO
CCc1ccccc1NC(C)=O,C10H13NO
COC(=O)C1=CC=C(N(C)C)C=C1,C10H13NO2
CNC(=O)OC1=CC(=C(C)C=C1)C,C10H13NO2
CCCCOC(=O)c1cccnc1,C10H13NO2
CNC(=O)Oc1cc(C)cc(C)c1,C10H13NO2
CCOC1=CC=C(NC(C)=O)C=C1,C10H13NO2
CCCOC(=O)c1ccc(N)cc1,C10H13NO2
COc1ccc(C)cc1NC(C)=O,C10H13NO2
CC(C)OC(=O)Nc1ccccc1,C10H13NO2
CC(C)OC(=O)c1ccc(N)cc1,C10H13NO2
CCC(C)c1ccc(O)c(c1)[N+]([O-])=O,C10H13NO3
CCOc1ccc(NC(=O)CO)cc1,C10H13NO3
CN[C@@H](Cc1ccc(O)cc1)C(O)=O,C10H13NO3
COc1ccc(OC)c(NC(C)=O)c1,C10H13NO3
COC(=O)C(N)CC1=CC(=C(O)C=C1)O,C10H13NO4
C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O,C10H13NO4
CNC(CC1=CC(O)=C(O)C=C1)C(=O)O,C10H13NO4
CC(=O)Nc1ccc(cc1)[S](=O)(=O)CCO,C10H13NO4S
CCOC(=O)N[S](=O)(=O)c1ccc(C)cc1,C10H13NO4S
OCC1OC(C(O)C1O)N2C=CC(=O)CC2=O,C10H13NO6
Cc1oc(cc1C([O-])=O)[C@H](O)[C@H](O)[C@H](O)CO,C10H13O7-
CCc1ccccc1CC,C10H14
CCc1cccc(CC)c1,C10H14
CC(C)c1ccccc1C,C10H14
CCCCc1ccccc1,C10H14
CC(C)Cc1ccccc1,C10H14
C=CC=C(C)C=CC=CC,C10H14
CC(C)(C)c1ccccc1,C10H14
CC1=CC(=C(C)C=C1C)C,C10H14
c1cc(CC)ccc1CC,C10H14
c1cc(C)ccc1C(C)C,C10H14
CCC(C)c1ccccc1,C10H14
CC(C)c1cccc(C)c1,C10H14
[Ca++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,C10H14CaO4
ClC(Cl)C(=O)N(CC=C)CC(=O)NCC=C,C10H14Cl2N2O2
CO[P](=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,C10H14Cl2NO2PS
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl,C10H14Cl6N4O2
CCN(CC)C(=O)CSc1ccc(Cl)nn1,C10H14ClN3OS
[Co++].CC([O-])=CC(C)=O.CC([O-])=CC(C)=O,C10H14CoO4
n(cccc1C(N(CC2)C)C2)c1,C10H14N2
CN1CCC[C@H]1c2cccnc2,C10H14N2
C1CC[C@H](NC1)c2cccnc2,C10H14N2
[Na+].[Na+].OC(=O)CN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O,C10H14N2Na2O8
CCN(CC)C(=O)c1cccnc1,C10H14N2O
CN(C)CNC(=O)C1=CC=CC=C1,C10H14N2O
CCNCNC(=O)c1ccccc1,C10H14N2O
CCN(C(N)=O)c1ccccc1C,C10H14N2O
CCOC1=CC=C(N(C)C(N)=O)C=C1,C10H14N2O2
CCN(C(N)=O)C1=CC=C(OC)C=C1,C10H14N2O2
O=C1NC(=O)C2(CCCCCC2)C(=O)N1,C10H14N2O3
CCCCOC1=C(C=C(C=C1)[N+](=O)[O-])N,C10H14N2O3
CC(C)C1(CC=C)C(=O)NC(=O)NC1=O,C10H14N2O3
CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,C10H14N2O3
C=CC1(CC(C)C)C(=O)NC(=O)NC1=O,C10H14N2O3
CC=CCC1(C)C(=O)NC(=O)N(C)C1=O,C10H14N2O3
CN(C)[S](=O)(=O)C1=CC=C(C=C1)N(C)C=O,C10H14N2O3S
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,C10H14N2O5
CCCN1C(=O)N(C)c2ncn(C)c2C1=O,C10H14N4O2
CCC[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,C10H14N4O2
CCc1nc2N(C)C(=O)N(C)C(=O)c2n1C,C10H14N4O2
CC(O)Cn1cnc2N(C)C(=O)N(C)C(=O)c12,C10H14N4O3
CN1C(=O)N(C)c2ncn(CCCO)c2C1=O,C10H14N4O3
O=C(N(C(=O)C(N(C=N1)CC(O)CO)=C12)C)N2C,C10H14N4O4
[Na+].[Na+].Nc1ncnc2n(cnc12)[C@@H]3O[C@H](CO[P](O)(=O)O[P]([O-])(=O)O[P](O)([O-])=O)[C@@H](O)[C@H]3O,C10H14N5Na2O13P3
Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O,C10H14N5O7P
CCc1nc2nc(N)nc(N)c2nc1CC,C10H14N6
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],C10H14NO5PS
CCO[P](=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,C10H14NO6P
CC(C)(C)c1cccc(O)c1,C10H14O
CC1=C(C=O)C(C)(C)CC=C1,C10H14O
c1(cc(ccc1C(C)C)C)O,C10H14O
CC(C)c1ccc(O)cc1C,C10H14O
CCCCOc1ccccc1,C10H14O
CC(=C)[C@@H]1CC=C(C)C(=O)C1,C10H14O
CC(C)(C)c1ccc(O)cc1,C10H14O
CC(C)(C)c1ccccc1O,C10H14O
CC(C)c1ccc(C)c(O)c1,C10H14O
CCC(C)c1ccccc1O,C10H14O
CC(=C)C1CC=C(C)C(=O)C1,C10H14O
CCC(C)c1ccc(O)cc1,C10H14O
CC(=C)[C@H]1CC=C(C)C(=O)C1,C10H14O
CC1(C)C(=O)C(=O)C2CCC1C2,C10H14O2
CCOc1ccccc1OCC,C10H14O2
CCCc1ccc(O)c(OC)c1,C10H14O2
